"","week","Global"
"1",1,199.7846
"2",2,167.704733333333
"3",3,250.9603
"4",4,258.962766666667
"5",5,263.423466666667
"6",6,245.917766666667
"7",7,227.364266666667
"8",8,223.456866666667
"9",9,138.020433333333
"10",10,189.864033333333
"11",11,208.357666666667
"12",12,163.796433333333
"13",13,207.298366666667
"14",14,188.919366666667
"15",15,175.184
"16",16,186.315333333333
"17",17,142.4489
"18",18,177.6586
"19",19,189.5185
"20",20,189.956
"21",21,168.815133333333
"22",22,168.303033333333
"23",23,171.682966666667
"24",24,172.603266666667
"25",25,169.0068
"26",26,146.5466
"27",27,132.774233333333
"28",28,149.431266666667
"29",29,105.400666666667
"30",30,107.941733333333
"31",31,65.0511
"32",32,62.2034
"33",33,70.8747
"34",34,55.3267333333333
"35",35,183.1284
"36",36,163.842133333333
"37",37,153.939
"38",38,156.993633333333
"39",39,80.6188
"40",40,200.245866666667
"41",41,208.873833333333
"42",42,189.445733333333
"43",43,186.4246
"44",44,187.6043
"45",45,213.051266666667
"46",46,206.495033333333
"47",47,191.913333333333
"48",48,24.8017333333333
