"","year","week","Global"
"1",2007,1,249.351133333333
"2",2007,2,269.605566666667
"3",2007,3,275.427766666667
"4",2007,4,254.909666666667
"5",2007,5,286.2062
"6",2007,6,251.1491
"7",2007,7,256.422933333333
"8",2007,8,221.817266666667
"9",2007,9,92.5074
"10",2007,10,251.5355
"11",2007,11,217.003
"12",2007,12,257.489633333333
"13",2007,13,235.723033333333
"14",2007,14,204.3904
"15",2007,15,83.9154333333333
"16",2007,16,148.882966666667
"17",2007,17,95.7227333333333
"18",2007,18,147.361466666667
"19",2007,19,164.367233333333
"20",2007,20,172.1039
"21",2007,21,169.208566666667
"22",2007,22,164.742166666667
"23",2007,23,159.9637
"24",2007,24,147.570533333333
"25",2007,25,86.0097
"26",2007,26,140.9925
"27",2007,27,126.7409
"28",2007,28,114.666533333333
"29",2007,29,109.2453
"30",2007,30,105.9809
"31",2007,31,105.9059
"32",2007,32,135.533766666667
"33",2007,33,117.0784
"34",2007,34,140.4253
"35",2007,35,146.716
"36",2007,36,154.1277
"37",2007,37,140.301666666667
"38",2007,38,150.264066666667
"39",2007,39,197.117433333333
"40",2007,40,199.585733333333
"41",2007,41,193.083366666667
"42",2007,42,200.234433333333
"43",2007,43,184.3752
"44",2007,44,109.295
"45",2007,45,226.645633333333
"46",2007,46,250.2372
"47",2007,47,222.016566666667
"48",2007,48,269.129266666667
"49",2007,49,245.462566666667
"50",2007,50,249.559466666667
"51",2007,51,259.482633333333
"52",2007,52,317.2703
"53",2007,53,36.9423666666667
"54",2008,1,231.834166666667
"55",2008,2,253.498
"56",2008,3,236.028433333333
"57",2008,4,260.2859
"58",2008,5,240.899733333333
"59",2008,6,226.497933333333
"60",2008,7,221.547433333333
"61",2008,8,189.1431
"62",2008,9,104.3504
"63",2008,10,225.002766666667
"64",2008,11,215.7531
"65",2008,12,214.9984
"66",2008,13,215.011433333333
"67",2008,14,196.455266666667
"68",2008,15,230.906
"69",2008,16,193.783433333333
"70",2008,17,131.116133333333
"71",2008,18,154.593766666667
"72",2008,19,197.907766666667
"73",2008,20,172.727133333333
"74",2008,21,171.427
"75",2008,22,165.329166666667
"76",2008,23,171.2504
"77",2008,24,171.6829
"78",2008,25,180.9224
"79",2008,26,143.162366666667
"80",2008,27,144.3394
"81",2008,28,137.859266666667
"82",2008,29,137.594233333333
"83",2008,30,107.179
"84",2008,31,112.252633333333
"85",2008,32,47.8864333333333
"86",2008,33,32.3141333333333
"87",2008,34,30.5207
"88",2008,35,67.8343333333333
"89",2008,36,157.039566666667
"90",2008,37,163.122733333333
"91",2008,38,166.024033333333
"92",2008,39,181.234933333333
"93",2008,40,187.992
"94",2008,41,202.1411
"95",2008,42,218.253266666667
"96",2008,43,170.7331
"97",2008,44,131.8835
"98",2008,45,238.473733333333
"99",2008,46,240.388966666667
"100",2008,47,254.754066666667
"101",2008,48,248.659666666667
"102",2008,49,236.751266666667
"103",2008,50,216.422733333333
"104",2008,51,240.2808
"105",2008,52,174.177666666667
"106",2008,53,52.6571
"107",2009,1,216.030433333333
"108",2009,2,217.484466666667
"109",2009,3,266.332733333333
"110",2009,4,233.559366666667
"111",2009,5,244.761033333333
"112",2009,6,255.028933333333
"113",2009,7,175.074166666667
"114",2009,8,197.655166666667
"115",2009,9,207.5445
"116",2009,10,220.1098
"117",2009,11,202.3532
"118",2009,12,184.5261
"119",2009,13,205.743833333333
"120",2009,14,183.364466666667
"121",2009,15,210.871133333333
"122",2009,16,188.056233333333
"123",2009,17,181.0352
"124",2009,18,184.9935
"125",2009,19,174.7873
"126",2009,20,178.5794
"127",2009,21,161.740033333333
"128",2009,22,148.817566666667
"129",2009,23,151.058066666667
"130",2009,24,94.7552666666667
"131",2009,25,131.383233333333
"132",2009,26,137.300866666667
"133",2009,27,134.2471
"134",2009,28,94.4511
"135",2009,29,95.2866
"136",2009,30,86.0809666666667
"137",2009,31,74.8781333333333
"138",2009,32,90.6903666666667
"139",2009,33,113.909
"140",2009,34,131.422066666667
"141",2009,35,139.898933333333
"142",2009,36,147.452133333333
"143",2009,37,178.9331
"144",2009,38,184.491833333333
"145",2009,39,162.8765
"146",2009,40,171.726166666667
"147",2009,41,189.8666
"148",2009,42,206.108366666667
"149",2009,43,194.598533333333
"150",2009,44,212.777033333333
"151",2009,45,201.125166666667
"152",2009,46,223.094866666667
"153",2009,47,232.730066666667
"154",2009,48,205.613333333333
"155",2009,49,224.5485
"156",2009,50,215.396566666667
"157",2009,51,203.142933333333
"158",2009,52,266.763133333333
"159",2009,53,36.8648666666667
